TemplateId,Name,NameTextId,AchievementType,MissionGoal,MissionCount,RewardType,RewardCount,OriginalAchievementId,PreviewAchievementId,NextAchievementId
1000001,몬스터킬10,AchievementMonsterKill10,Normal,MonsterKill,10,Gold,200,1000001,,1000002
1000002,몬스터킬20,AchievementMonsterKill20,Normal,MonsterKill,20,Gold,200,1000001,1000001,1000003
1000003,몬스터킬30,AchievementMonsterKill30,Normal,MonsterKill,30,Gold,200,1000001,1000002,1000004
1000004,몬스터킬40,AchievementMonsterKill40,Normal,MonsterKill,40,Gold,200,1000001,1000003,1000005
1000005,몬스터킬50,AchievementMonsterKill50,Normal,MonsterKill,50,Gold,200,1000001,1000004,1000006
1000006,몬스터킬60,AchievementMonsterKill60,Normal,MonsterKill,60,Gold,200,1000001,1000005,1000007
1000007,몬스터킬70,AchievementMonsterKill70,Normal,MonsterKill,70,Gold,200,1000001,1000006,1000008
1000008,몬스터킬80,AchievementMonsterKill80,Normal,MonsterKill,80,Gold,200,1000001,1000007,1000009
1000009,몬스터킬90,AchievementMonsterKill90,Normal,MonsterKill,90,Gold,200,1000001,1000008,1000010
1000010,몬스터킬100,AchievementMonsterKill100,Normal,MonsterKill,100,Gold,200,1000001,1000009,1000011
1000011,몬스터킬110,AchievementMonsterKill110,Normal,MonsterKill,110,Gold,200,1000001,1000010,1000012
1000012,몬스터킬120,AchievementMonsterKill120,Normal,MonsterKill,120,Gold,200,1000001,1000011,1000013
1000013,몬스터킬130,AchievementMonsterKill130,Normal,MonsterKill,130,Gold,200,1000001,1000012,1000014
1000014,몬스터킬140,AchievementMonsterKill140,Normal,MonsterKill,140,Gold,200,1000001,1000013,1000015
1000015,몬스터킬150,AchievementMonsterKill150,Normal,MonsterKill,150,Gold,200,1000001,1000014,1000016
1000016,몬스터킬160,AchievementMonsterKill160,Normal,MonsterKill,160,Gold,200,1000001,1000015,1000017
1000017,몬스터킬170,AchievementMonsterKill170,Normal,MonsterKill,170,Gold,200,1000001,1000016,1000018
1000018,몬스터킬180,AchievementMonsterKill180,Normal,MonsterKill,180,Gold,200,1000001,1000017,1000019
1000019,몬스터킬190,AchievementMonsterKill190,Normal,MonsterKill,190,Gold,200,1000001,1000018,1000020
1000020,몬스터킬200,AchievementMonsterKill200,Normal,MonsterKill,200,Gold,200,1000001,1000019,
2000001,골드사용1천,AchievementConsumGold1k,Normal,ConsumGold,1000,Exp,100,2000001,,2000002
2000002,골드사용2천,AchievementConsumGold2k,Normal,ConsumGold,1000,Exp,100,2000001,2000001,2000003
2000003,골드사용3천,AchievementConsumGold3k,Normal,ConsumGold,1000,Exp,100,2000001,2000002,2000004
2000004,골드사용4천,AchievementConsumGold4k,Normal,ConsumGold,1000,Exp,100,2000001,2000003,2000005
2000005,골드사용5천,AchievementConsumGold5k,Normal,ConsumGold,1000,Exp,100,2000001,2000004,2000006
2000006,골드사용6천,AchievementConsumGold6k,Normal,ConsumGold,1000,Exp,100,2000001,2000005,2000007
2000007,골드사용7천,AchievementConsumGold7k,Normal,ConsumGold,1000,Exp,100,2000001,2000006,2000008
2000008,골드사용8천,AchievementConsumGold8k,Normal,ConsumGold,1000,Exp,100,2000001,2000007,2000009
2000009,골드사용9천,AchievementConsumGold9k,Normal,ConsumGold,1000,Exp,100,2000001,2000008,2000010
2000010,골드사용10천,AchievementConsumGold10k,Normal,ConsumGold,1000,Exp,100,2000001,2000009,2000011
2000011,골드사용11천,AchievementConsumGold11k,Normal,ConsumGold,1000,Exp,100,2000001,2000010,2000012
2000012,골드사용12천,AchievementConsumGold12k,Normal,ConsumGold,1000,Exp,100,2000001,2000011,2000013
2000013,골드사용13천,AchievementConsumGold13k,Normal,ConsumGold,1000,Exp,100,2000001,2000012,2000014
2000014,골드사용14천,AchievementConsumGold14k,Normal,ConsumGold,1000,Exp,100,2000001,2000013,2000015
2000015,골드사용15천,AchievementConsumGold15k,Normal,ConsumGold,1000,Exp,100,2000001,2000014,2000016
2000016,골드사용16천,AchievementConsumGold16k,Normal,ConsumGold,1000,Exp,100,2000001,2000015,2000017
2000017,골드사용17천,AchievementConsumGold17k,Normal,ConsumGold,1000,Exp,100,2000001,2000016,2000018
2000018,골드사용18천,AchievementConsumGold18k,Normal,ConsumGold,1000,Exp,100,2000001,2000017,2000019
2000019,골드사용19천,AchievementConsumGold19k,Normal,ConsumGold,1000,Exp,100,2000001,2000018,2000020
2000020,골드사용20천,AchievementConsumGold20k,Normal,ConsumGold,1000,Exp,100,2000001,2000019,
3000001,스테이지5번클리어,AchievementStageClearTimes5,Normal,StageClear,5,StoneArmor,10,3000001,,3000002
3000002,스테이지10번클리어,AchievementStageClearTimes10,Normal,StageClear,10,StoneBelt,10,3000001,3000001,3000003
3000003,스테이지15번클리어,AchievementStageClearTimes15,Normal,StageClear,15,StoneBoots,10,3000001,3000002,3000004
3000004,스테이지20번클리어,AchievementStageClearTimes20,Normal,StageClear,20,StoneGloves,10,3000001,3000003,3000005
3000005,스테이지25번클리어,AchievementStageClearTimes25,Normal,StageClear,25,StoneRing,10,3000001,3000004,3000006
3000006,스테이지30번클리어,AchievementStageClearTimes30,Normal,StageClear,30,StoneWeapon,10,3000001,3000005,3000007
3000007,스테이지35번클리어,AchievementStageClearTimes35,Normal,StageClear,35,StoneArmor,10,3000001,3000006,3000008
3000008,스테이지40번클리어,AchievementStageClearTimes40,Normal,StageClear,40,StoneBelt,10,3000001,3000007,3000009
3000009,스테이지45번클리어,AchievementStageClearTimes45,Normal,StageClear,45,StoneBoots,10,3000001,3000008,3000010
3000010,스테이지50번클리어,AchievementStageClearTimes50,Normal,StageClear,50,StoneGloves,10,3000001,3000009,3000011
3000011,스테이지55번클리어,AchievementStageClearTimes55,Normal,StageClear,55,StoneRing,10,3000001,3000010,3000012
3000012,스테이지60번클리어,AchievementStageClearTimes60,Normal,StageClear,60,StoneWeapon,10,3000001,3000011,3000013
3000013,스테이지65번클리어,AchievementStageClearTimes65,Normal,StageClear,65,StoneArmor,10,3000001,3000012,3000014
3000014,스테이지70번클리어,AchievementStageClearTimes70,Normal,StageClear,70,StoneBelt,10,3000001,3000013,3000015
3000015,스테이지75번클리어,AchievementStageClearTimes75,Normal,StageClear,75,StoneBoots,10,3000001,3000014,3000016
3000016,스테이지80번클리어,AchievementStageClearTimes80,Normal,StageClear,80,StoneGloves,10,3000001,3000015,3000017
3000017,스테이지85번클리어,AchievementStageClearTimes85,Normal,StageClear,85,StoneRing,10,3000001,3000016,3000018
3000018,스테이지90번클리어,AchievementStageClearTimes90,Normal,StageClear,90,StoneWeapon,10,3000001,3000017,3000019
3000019,스테이지95번클리어,AchievementStageClearTimes95,Normal,StageClear,95,StoneArmor,10,3000001,3000018,3000020
3000020,스테이지100번클리어,AchievementStageClearTimes100,Normal,StageClear,100,StoneBelt,10,3000001,3000019,3000021
3000021,스테이지105번클리어,AchievementStageClearTimes105,Normal,StageClear,105,StoneBoots,10,3000001,3000020,3000022
3000022,스테이지110번클리어,AchievementStageClearTimes110,Normal,StageClear,110,StoneGloves,10,3000001,3000021,3000023
3000023,스테이지115번클리어,AchievementStageClearTimes115,Normal,StageClear,115,StoneRing,10,3000001,3000022,3000024
3000024,스테이지120번클리어,AchievementStageClearTimes120,Normal,StageClear,120,StoneWeapon,10,3000001,3000023,
4000001,스테이지노멀1-1클리어,AchievementStageClearAtNormal1_1,Normal,StageClearAt,1,Dia,1000,4000001,,4000002
4000002,스테이지노멀1-2클리어,AchievementStageClearAtNormal1_2,Normal,StageClearAt,2,Dia,1000,4000001,4000001,4000003
4000003,스테이지노멀1-3클리어,AchievementStageClearAtNormal1_3,Normal,StageClearAt,3,Dia,1000,4000001,4000002,4000004
4000004,스테이지하드1-1클리어,AchievementStageClearAtHard1_1,Normal,StageClearAt,11,Dia,1500,4000001,4000003,4000005
4000005,스테이지하드1-2클리어,AchievementStageClearAtHard1_2,Normal,StageClearAt,12,Dia,1500,4000001,4000004,4000006
