GachaItem,SpineNameKey,Rarity,CurrencyType,CurrencyCount,BuddyTemplateId
Duck,spi_buddy_duck_SkeletonData,Common,Dia,10,100000100
Mari,spi_buddy_mari_SkeletonData,Common,Dia,10,100000300
Tom,spi_buddy_tom_SkeletonData,Common,Dia,10,100000500
Ellie,spi_buddy_ellie_SkeletonData,Rare,Dia,100,300000100
Lala,spi_buddy_lala_SkeletonData,Rare,Dia,100,300000300
Luke,spi_buddy_luke_SkeletonData,Rare,Dia,100,300000500
Rooki,spi_buddy_rooki_SkeletonData,Rare,Dia,100,300000700
Sam,spi_buddy_sam_SkeletonData,Rare,Dia,100,300000900
Aren,spi_buddy_aren_SkeletonData,Epic,Dia,500,500000100
Ballack,spi_buddy_ballack_SkeletonData,Epic,Dia,500,500000300
Coon,spi_buddy_coon_SkeletonData,Epic,Dia,500,500000500
Hadi,spi_buddy_hadi_SkeletonData,Epic,Dia,500,500000700
Lucy,spi_buddy_lucy_SkeletonData,Epic,Dia,500,500000900
Lui,spi_buddy_lui_SkeletonData,Epic,Dia,500,500001100
Owen,spi_buddy_owen_SkeletonData,Epic,Dia,500,500001300
Vanessa,spi_buddy_vanessa_SkeletonData,Epic,Dia,500,500001500
Veti,spi_buddy_veti_SkeletonData,Epic,Dia,500,500001700
Walt,spi_buddy_walt_SkeletonData,Epic,Dia,500,500001900
Andre,spi_buddy_andre_SkeletonData,Unique,Dia,1000,700000100
Chloe,spi_buddy_chloe_SkeletonData,Unique,Dia,1000,700000300
Laurel,spi_buddy_laurel_SkeletonData,Unique,Dia,1000,700000500
Leon,spi_buddy_leon_SkeletonData,Unique,Dia,1000,700000700
Michelle,spi_buddy_michelle_SkeletonData,Unique,Dia,1000,700000900
Storm,spi_buddy_storm_SkeletonData,Unique,Dia,1000,700001100
Yuli,spi_buddy_yuli_SkeletonData,Unique,Dia,1000,700001300
Alex,spi_buddy_alex_SkeletonData,Legend,Dia,3000,900000100
Bella,spi_buddy_bella_SkeletonData,Legend,Dia,3000,900000300
Kyle,spi_buddy_kyle_SkeletonData,Legend,Dia,3000,900000500
Sylvia,spi_buddy_sylvia_SkeletonData,Legend,Dia,3000,900000700
Zion,spi_buddy_zion_SkeletonData,Legend,Dia,3000,900000900
