GachaItem,CurrencyType,CurrencyCount,Percent,Max
STONEARMOR10,StoneArmor,10,500,100000
STONEARMOR5,StoneArmor,5,1000,100000
STONEARMOR3,StoneArmor,3,2500,100000
STONEARMOR1,StoneArmor,1,4000,100000
STONEBELT10,StoneBelt,10,500,100000
STONEBELT5,StoneBelt,5,1000,100000
STONEBELT3,StoneBelt,3,2500,100000
STONEBELT1,StoneBelt,1,4000,100000
STONEBOOTS10,StoneBoots,10,500,100000
STONEBOOTS5,StoneBoots,5,1000,100000
STONEBOOTS3,StoneBoots,3,2500,100000
STONEBOOTS1,StoneBoots,1,4000,100000
STONEGLOVES10,StoneGloves,10,500,100000
STONEGLOVES5,StoneGloves,5,1000,100000
STONEGLOVES3,StoneGloves,3,2500,100000
STONEGLOVES1,StoneGloves,1,4000,100000
STONERING10,StoneRing,10,500,100000
STONERING5,StoneRing,5,1000,100000
STONERING3,StoneRing,3,2500,100000
STONERING1,StoneRing,1,4000,100000
STONEWEAPON10,StoneWeapon,10,500,100000
STONEWEAPON5,StoneWeapon,5,1000,100000
STONEWEAPON3,StoneWeapon,3,2500,100000
STONEWEAPON1,StoneWeapon,1,4000,100000
SCROLLARMOR10,ScrollArmor,10,500,100000
SCROLLARMOR5,ScrollArmor,5,1000,100000
SCROLLARMOR3,ScrollArmor,3,2500,100000
SCROLLARMOR1,ScrollArmor,1,4000,100000
SCROLLBELT10,ScrollBelt,10,500,100000
SCROLLBELT5,ScrollBelt,5,1000,100000
SCROLLBELT3,ScrollBelt,3,2500,100000
SCROLLBELT1,ScrollBelt,1,4000,100000
SCROLLBOOTS10,ScrollBoots,10,500,100000
SCROLLBOOTS5,ScrollBoots,5,1000,100000
SCROLLBOOTS3,ScrollBoots,3,2500,100000
SCROLLBOOTS1,ScrollBoots,1,4000,100000
SCROLLGLOVES10,ScrollGloves,10,500,100000
SCROLLGLOVES5,ScrollGloves,5,1000,100000
SCROLLGLOVES3,ScrollGloves,3,2500,100000
SCROLLGLOVES1,ScrollGloves,1,4000,100000
SCROLLRING10,ScrollRing,10,500,100000
SCROLLRING5,ScrollRing,5,1000,100000
SCROLLRING3,ScrollRing,3,2500,100000
SCROLLRING1,ScrollRing,1,4000,100000
SCROLLWEAPON10,ScrollWeapon,10,500,100000
SCROLLWEAPON5,ScrollWeapon,5,1000,100000
SCROLLWEAPON3,ScrollWeapon,3,2500,100000
SCROLLWEAPON1,ScrollWeapon,1,4000,100000
GOLD100,Gold,100,4000,100000
