CurrencyType,IconImage
Gold,Gold_Icon
BlueGem,BlueGem
GreenGem,GreenGem
SmallGreenGem,SmallGem
YellowGem,YellowGem
StoneArmor,EnchantStoneArmor_Icon
StoneBelt,EnchantStoneBelt_Icon
StoneBoots,EnchantStoneBoots_Icon
StoneGloves,EnchantStoneGloves_Icon
StoneRing,EnchantStoneRing_Icon
StoneWeapon,EnchantStoneWeapon_Icon
Exp,Exp_Icon
ScrollArmor,Scroll_Armor_Icon
ScrollBelt,Scroll_Belt_Icon
ScrollBoots,Scroll_Boots_Icon
ScrollGloves,Scroll_Gloves_Icon
ScrollRing,Scroll_Ring_Icon
ScrollWeapon,Scroll_Weapon_Icon
