GachaItem,CurrencyType,CurrencyCount,Percent,Max
EXP1000,Exp,1000,10,40000
EXP100,Exp,100,200,40000
EXP10,Exp,10,3000,40000
EXP1,Exp,1,6790,40000
BLUEGEM50,BlueGem,50,10,40000
BLUEGEM15,BlueGem,15,200,40000
BLUEGEM10,BlueGem,10,3000,40000
BLUEGEM1,BlueGem,1,6790,40000
GREENGEM50,GreenGem,50,10,40000
GREENGEM15,GreenGem,15,200,40000
GREENGEM10,GreenGem,10,3000,40000
GREENGEM1,GreenGem,1,6790,40000
YELLOWGEM50,YellowGem,50,10,40000
YELLOWGEM15,YellowGem,15,200,40000
YELLOWGEM10,YellowGem,10,3000,40000
YELLOWGEM1,YellowGem,1,6790,40000
