TemplateId,WorldNumber,StageNumber,DifficultyLevel,FirstWaveMonsterList,FirstWaveMonsterLevelList,SecondWaveMonsterList,SecondWaveMonsterLevelList,BossWaveMonsterList,BossWaveMonsterLevelList,RewardTimes,RewardType,RewardCount,RewardPercent,RewardFirstType,RewardFirstCount,PreviewStageId,NextStageId,OhterStageId
1,1,1,Normal,1,1,1,1,3,1,1,Gold,50,50,Gold,100,,2,11
,,,,,,2,1,,,,Exp,10,50,Exp,100,,,
2,1,2,Normal,1,1,2,2,3,2,2,Gold,50,50,,,1,3,12
,,,,1,1,2,2,,,,Exp,10,50,,,,,
3,1,3,Normal,1,1,1,2,3,3,3,Gold,50,10,,,2,11,13
,,,,2,1,2,2,,,,Exp,10,10,,,,,
,,,,3,1,3,1,,,,StoneArmor,1,80,,,,,
11,1,1,Hard,1,5,2,6,3,7,1,Gold,100,50,Exp,200,3,12,1
12,1,2,Hard,2,5,3,6,4,7,1,Gold,150,50,Exp,200,11,13,2
13,1,3,Hard,1,10,2,10,3,10,1,Gold,200,50,Exp,200,12,,3
