DataId,KOR
NormalSkill1,전사 평타
NormalSkill1Description,전사의 평범한 공격
NormalSkill2,전사 평타
NormalSkill2Description,전사의 평범한 공격 좀더 강하다
ArcherNormalSkill1,궁서 평타
ArcherNormalSkill1Description,궁수의 평범한 활 공격
ArcherNormalSkill2,궁서 평타
ArcherNormalSkill2Description,궁수의 평범한 투창공격
RogueNormalSkill1,도둑 평타
RogueNormalSkill1Description,도둑의 평범한 공격
RogueNormalMagicSkill1,도둑 마법 평타
RogueNormalMagicSkill1Description,도둑의 평범한 마법 공격 느리다
MagicianNormalMagicSkill1,마법사 마법 평타
MagicianNormalMagicSkill1Description,마법사의 평범한 마법 공격
MagicianWaterMagicSkill1,마법사 물속성 평타
MagicianWaterMagicSkill1Description,마법사의 물속성 마법 공격
DescriptionAttackPercent,공격력비율
DescriptionAttackSpeed,공격속도
DescriptionCoolTime,쿨타임
HeroNormalSkill1,영웅 근접 평타1
HeroNormalSkill2,영웅 근접 평타2
HeroNormalSkill3,영웅 근접 평타3
HeroNormalSkill1Description,영웅의 평범한 공격
HeroNormalSkill2Description,영웅의 평범한 공격. 좀 더 강하다.
HeroNormalSkill3Description,영웅의 평범한 공격. 좀 강하다.
Duck,Duck
DuckDescription,평범한 전사
Ellie,Ellie
EllieDescription,레어한 궁수
Mari,Mari
MariDescription,평범한 마법사
Tom,Tom
TomDescription,평범한 도적
MissionMonsterKill,몬스터 킬
MissionConsumGold,골드 사용
MissionStageClear,스테이지 클리어
MissionCurrencyGacha,자원 가챠
MissionBuddySkillUp,동료 스킬 레벨 업
MissionBuddyLevelUp,동료 레벨 업
MissionHeroSkillUp,영웅 스킬 레벨 업
MissionHeroLevelUp,영웅 레벨 업
MissionDay,일일 미션
MissionWeek,주간 미션
AchievementMonsterKill10,몬스터 킬 10
AchievementMonsterKill20,몬스터 킬 20
AchievementMonsterKill30,몬스터 킬 30
AchievementMonsterKill40,몬스터 킬 40
AchievementMonsterKill50,몬스터 킬 50
AchievementMonsterKill60,몬스터 킬 60
AchievementMonsterKill70,몬스터 킬 70
AchievementMonsterKill80,몬스터 킬 80
AchievementMonsterKill90,몬스터 킬 90
AchievementMonsterKill100,몬스터 킬 100
AchievementMonsterKill110,몬스터 킬 110
AchievementMonsterKill120,몬스터 킬 120
AchievementMonsterKill130,몬스터 킬 130
AchievementMonsterKill140,몬스터 킬 140
AchievementMonsterKill150,몬스터 킬 150
